model_size,rollout_target_shift_mean_at_2,steered_rollout_vmse_final_mean_at_2,steered_rollout_nmse_final_mean_at_2,rollout_nonfinite_fraction_at_2,rollout_valid_steps_mean_at_2,transfer_target_shift_mean_at_2,transfer_off_target_drift_mean_at_2,transfer_next_step_mse_delta_mean_at_2,transfer_nonfinite_fraction_at_2
GPT_L,7.518704019231023,7.335853576660156,7.3132781982421875,0.0,20.0,0.0974681042134761,0.0436435807496309,-4.545599222183228e-05,0.0
GPT_M,-6.682858703919061,101.10165023803712,101.0640926361084,0.0,20.0,-0.0521151050925254,0.0469911396503448,-6.692484021186829e-05,0.0
GPT_S,15.651925529075662,13.149536609649658,13.063376903533936,0.0,20.0,2.478940367698669,2.072608172893524,0.0029810275882482,0.0
GPT_XL,17.08092192197943,9.670153617858888,9.647872924804688,0.0,20.0,-0.0241823587566614,0.2203288078308105,5.123205482959747e-05,0.0
